Title,Year,Genre,Director
The Shawshank Redemption,1994,Drama,Frank Darabont
The Godfather,1972,Crime,Francis Ford Coppola
The Dark Knight,2008,Action,Christopher Nolan
12 Angry Men,1957,Drama,Sidney Lumet
Schindler's List,1993,Biography,Steven Spielberg
Pulp Fiction,1994,Crime,Quentin Tarantino
The Lord of the Rings: The Return of the King,2003,Adventure,Peter Jackson
The Good, the Bad and the Ugly,1966,Western,Sergio Leone
Fight Club,1999,Drama,David Fincher
Forrest Gump,1994,Drama,Robert Zemeckis
Inception,2010,Action,Christopher Nolan
